Declaratie;VersiuneJ;VersiuneP
D112;J3.12.2;J3.12.2
D120;J2.0.0;J2.0.0
D205;J3.0.1;J3.0.1
S1001;J11.0.1;J11.0.1
S1002;J5.0.2;J5.0.2
S1003;J5.0.1;J5.0.1
S1004;J5.0.2;J5.0.2
S1005;J5.0.3;J5.0.3
S1006;J1.1.0;J1.1.0
S1007;J1.1.0;J1.1.0
S1008;J1.1.0;J1.1.0
S1009;J1.1.0;J1.1.0
S1014;J4.0.0;J4.0.0
S1015;J4.0.1;J4.0.1
S1016;J4.0.0;J4.0.0
S1017;J4.0.1;J4.0.1
S1019;J5.0.0;J5.0.0
S1018;J4.0.0;J4.0.0
S1010;J4.0.0;J4.0.0
S1011;J4.0.0;J4.0.0
S1020;J4.1.0;J4.1.0
S1021;J4.1.0;J4.1.0
S1022;J4.1.0;J4.1.0
S1023;J5.0.0;J5.0.0
S1024;J3.1.0;J3.1.0
S1025;J3.1.0;J3.1.0
S1026;J3.0.1;J3.0.1
S1044;J4.0.0;J4.0.0
S1027;J5.0.2;J5.0.2
S1055;J1.0.0;J1.0.0
S1056;J1.0.1;J1.0.1
S1057;J1.0.0;J1.0.0
S1058;J1.0.0;J1.0.0
S1059;J1.0.2;J1.0.2
S1060;J1.0.1;J1.0.1
S1050;J2.0.2;J2.0.2
S1051;J1.0.1;J1.0.1
S1052;J1.0.0;J1.0.0
S1053;J1.0.0;J1.0.0
S1054;J1.0.0;J1.0.0
S1045;J4.0.2;J4.0.2
S1046;J1.2.0;J1.2.0
S1047;J2.0.1;J2.0.1
S1048;J2.0.1;J2.0.1
S1049;J2.0.1;J2.0.1
S1012;J4.0.1;J4.0.1
S1028;J4.0.1;J4.0.1
S1029;J5.0.1;J5.0.1
S1031;J5.0.0;J5.0.0
S1032;J5.0.0;J5.0.0
S1033;J5.0.0;J5.0.0
S1034;J5.0.0;J5.0.0
S1035;J1.0.0;J1.0.0
S1036;J4.0.0;J4.0.0
S1037;J1.0.0;J1.0.0
S1038;J2.0.0;J2.0.0
S1013;J4.0.0;J4.0.0
S1030;J2.0.1;J2.0.1
S1039;J1.0.3;J1.0.3
S1040;J4.0.4;J4.0.4
S1041;J2.1.0;J2.1.0
S1042;J2.1.2;J2.1.2
S1043;J1.3.0;J1.3.0
D100;J2.2.0;J2.2.0
D101;J4.0.1;J4.0.1
D130;J1.0.0;J1.0.0
D180;J1.0.1;J1.0.1
D104;J1.2.0;J1.2.0
D106;J1.0.1;J1.0.1
D200;J3.0.2;J3.0.2
D201;J1.0.0;J1.0.0
D220;J2.0.2;J2.0.2
D204;J1.0.2;J1.0.2
D223;J1.1.0;J1.1.0
D208;J3.0.1;J3.0.1
D600;J2.0.1;J2.0.1
D230;J2.0.1;J2.0.1
D300;J4.0.1;J4.0.1
D301;J1.2.1;J1.2.1
D390;J1.1.0;J1.1.0
D392;J1.2.0;J1.2.0
D393;J1.0.0;J1.0.0
D394;J3.0.2;J3.0.2
D710;J2.0.2;J2.0.2
T100;J1.0.0;J1.0.0
T101;J1.0.0;J1.0.0
P2000;J1.3.2;J1.3.2
F3000;J1.8.0;J1.8.0
P4000;J2.0.1;J2.0.1
P5000;J1.0.0;J1.0.0
D399;J1.0.3;J1.0.3
D401;J1.3.0;J1.3.0
D402;J1.0.1;J1.0.1
D403;J2.1.0;J2.1.0
